Latitude,Longitude,Altitude,CO2(ppm),Temperature(C),Humidity(RH),PM1.0(ug/m3),atmos,PM2.5(ug/m3),atmos,PM10(ug/m3),atmos
0.0000000,0.0000000,0.00,1284,27.34,91.84,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1374,27.67,90.95,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1285,27.85,90.38,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1308,28.01,89.98,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1283,28.11,89.46,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1308,28.23,89.13,31,26,55,44,56,52
0.0000000,0.0000000,0.00,1357,28.29,88.91,29,24,52,42,53,49
0.0000000,0.0000000,0.00,1350,28.35,88.64,29,24,52,42,53,49
0.0000000,0.0000000,0.00,1291,28.34,88.49,29,24,52,41,53,49
0.0000000,0.0000000,0.00,1341,28.38,88.38,29,24,53,41,53,49
0.0000000,0.0000000,0.00,1294,28.40,88.13,29,24,53,41,53,49
0.0000000,0.0000000,0.00,1290,28.42,88.05,28,24,52,42,54,50
0.0000000,0.0000000,0.00,1311,28.44,88.01,28,24,52,42,54,50
0.0000000,0.0000000,0.00,1311,28.42,87.84,28,24,51,41,54,50
0.0000000,0.0000000,0.00,1335,28.49,87.73,30,26,56,44,56,52
0.0000000,0.0000000,0.00,1295,28.54,87.59,30,26,55,44,56,52
0.0000000,0.0000000,0.00,1374,28.57,87.41,29,25,54,43,55,51
0.0000000,0.0000000,0.00,1301,28.56,87.32,29,25,50,41,53,50
0.0000000,0.0000000,0.00,1304,28.54,87.32,29,25,51,42,53,50
0.0000000,0.0000000,0.00,1308,28.58,87.21,30,26,51,42,53,50
0.0000000,0.0000000,0.00,1227,28.61,87.06,30,26,50,41,52,49
0.0000000,0.0000000,0.00,1271,28.61,87.01,29,25,53,42,54,50
0.0000000,0.0000000,0.00,1312,28.59,87.00,30,26,52,42,52,49
0.0000000,0.0000000,0.00,1245,28.61,86.88,30,26,52,42,52,49
0.0000000,0.0000000,0.00,1324,28.61,86.91,29,25,49,41,51,49
0.0000000,0.0000000,0.00,1423,28.61,86.83,29,25,49,41,51,49
0.0000000,0.0000000,0.00,1337,28.65,86.72,29,25,49,41,51,49
0.0000000,0.0000000,0.00,1282,28.65,86.75,29,25,49,41,51,49
0.0000000,0.0000000,0.00,1341,28.67,86.65,29,25,47,40,50,48
0.0000000,0.0000000,0.00,1286,28.60,86.83,29,25,47,40,50,48
0.0000000,0.0000000,0.00,1361,28.56,86.90,28,24,52,42,53,50
0.0000000,0.0000000,0.00,1376,28.59,86.82,28,24,52,42,53,50
0.0000000,0.0000000,0.00,1295,28.59,86.79,30,26,47,40,52,49
0.0000000,0.0000000,0.00,1344,28.57,86.79,30,26,47,40,52,49
0.0000000,0.0000000,0.00,1290,28.55,86.91,28,24,46,39,49,47
0.0000000,0.0000000,0.00,1288,28.54,86.85,27,24,48,40,50,48
0.0000000,0.0000000,0.00,1316,28.54,86.88,28,24,48,40,50,48
0.0000000,0.0000000,0.00,1307,28.52,86.89,28,24,45,39,47,46
0.0000000,0.0000000,0.00,1291,28.59,86.76,28,24,45,39,47,46
0.0000000,0.0000000,0.00,1237,28.58,86.73,30,26,49,41,50,48
0.0000000,0.0000000,0.00,1336,28.64,86.62,29,25,47,39,50,48
0.0000000,0.0000000,0.00,1378,28.64,86.59,29,25,47,39,50,48
0.0000000,0.0000000,0.00,1366,28.64,86.56,30,26,48,40,50,48
0.0000000,0.0000000,0.00,1365,28.74,86.27,30,26,48,40,50,48
0.0000000,0.0000000,0.00,1359,28.74,86.19,27,23,45,38,47,46
0.0000000,0.0000000,0.00,1336,28.74,86.25,29,25,48,40,49,47
0.0000000,0.0000000,0.00,1372,28.70,86.22,29,25,48,40,49,47
0.0000000,0.0000000,0.00,1358,28.76,86.15,31,26,48,40,51,49
0.0000000,0.0000000,0.00,1312,28.78,86.06,30,25,46,39,50,48
0.0000000,0.0000000,0.00,1316,28.76,86.04,30,25,46,39,50,48
0.0000000,0.0000000,0.00,1373,28.75,86.10,30,25,47,39,50,48
0.0000000,0.0000000,0.00,1289,28.71,86.17,29,25,45,38,47,46
0.0000000,0.0000000,0.00,1341,28.78,86.05,29,25,45,38,47,46
0.0000000,0.0000000,0.00,1326,28.70,86.19,30,26,46,39,49,47
0.0000000,0.0000000,0.00,1313,28.67,86.24,30,26,47,40,49,47
0.0000000,0.0000000,0.00,1287,28.66,86.29,30,26,47,40,49,47
0.0000000,0.0000000,0.00,1370,28.73,86.09,27,23,46,39,49,47
